Libyan Arab Jamahi|Arabic||
Canada|English|French|
Turkmenistan|Turkmenian||
Saint Helena|English||
Montenegro|Montenegrin||
Kazakstan|Kazakh||
Lithuania|Lithuanian||
Cambodia|Khmer||
Macao|Portuguese||
Aruba|Dutch||
Swaziland|Swazi||
Palestine|Arabic||
Argentina|Spanish||
Bolivia|Spanish|Ket?ua|Aimara
Cameroon|French||
Burkina Faso|French||
Bahrain|Arabic||
Saudi Arabia|Arabic||
American Samoa|Samoan|English|
United States Mino|English||
Cocos (Keeling) Is|English||
Slovenia|Slovene||
Guatemala|Spanish||
Bosnia and Herzego|Serbo-Croatian||
Korea DPR|Korean||
Russian Federation|Russian||
Germany|German||
Spain|Spanish||
Liberia|English||
Netherlands|Dutch||
Jamaica|English||
DR Congo|French||
Oman|Arabic||
Tanzania|Swahili||
North Macedonia|Macedonian||
Ivory Coast|French||
Albania|Albaniana||
Gabon|French||
Saint Pierre and M|French||
Monaco|French||
England|English||
New Zealand|English||
Yemen|Arabic||
Pakistan|Urdu||
Greenland|Greenlandic|Danish|
Samoa|Samoan|English|
Chinese Taipei|Chineses||
Macau|Chinese||
Equatorial Guinea|Spanish||
Norfolk Island|English||
United Arab Emirates|Arabic||
Guam|English|Chamorro|
Kosovo|Serbian||
India|Hindi||
Svalbard and Jan M|Norwegian||
Lesotho|Sotho|English|
Saint Vincent and |English||
Kenya|English||
South Korea|Korean||
Tajikistan|Tadzhik||
Turkey|Turkish||
Afghanistan|Pashto|Dari|
Bangladesh|Bengali||
Libya|Libyan||
Turks and Caicos I|English||
Saint Lucia|English||
San Marino|Italian||
Mongolia|Mongolian||
Azerbaijan|Azerbaijani||
Bermuda|English||
Slovakia|Slovak||
Somalia|Somali|Arabic|
Peru|Spanish|Ket?ua|Aimara
Laos|Lao||
Nauru|Nauru|English|
Seychelles|English|French|
Norway|Norwegian||
Malawi|Chichewa||
Cook Islands|Maori||
Benin|French||
Virgin Islands|English||
Republic of Ireland|Irish||
Cuba|Spanish||
Korea Republic|Korean||
Saint Kitts and Nevis|English||
Togo|Ewe|Kabyz|
Holy See (Vatican |Italian||
China|Chinese||
Armenia|Armenian||
Dominican Republic|Spanish||
Ukraine|Ukrainian||
Ghana|English||
Tonga|Tongan|English|
Finland|Finnish|Swedish|
Western Sahara|Arabic||
Cayman Islands|English||
Central African Republic|Sango||
United States|English||
Liechtenstein|German||
Belarus|Belorussian|Russian|
Mali|French||
East Timor|Portuguese||
Russia|Russian||
Bulgaria|Bulgariana||
Romania|Romanian|Romani|
Angola|Portuguese||
Portugal|Portuguese||
South Africa|Zulu|Xhosa|Afrikaans
Tokelau|English||
Nicaragua|Spanish||
Sweden|Swedish||
Qatar|Arabic||
Antigua & Barbuda|English||
Malaysia|Malay||
Austria|German||
Vietnam|Vietnamese||
Mozambique|Portuguese||
Uganda|English||
Japan|Japanese||
Niger|French||
Wales|Welsh|English|
Brazil|Portuguese||
Falkland Islands|English||
Faroe Islands|Faroese|Danish|
Kuwait|Arabic||
Panama|Spanish||
Guyana|English||
Scotland|Scottish|English|
Costa Rica|Spanish||
Luxembourg|Luxembourgish|French|German
Cape Verde|Portuguese||
Andorra|Catalan||
Gibraltar|English||
Ireland|English|Irish|
Palau|Palau|English|
Nigeria|English||
Ecuador|Spanish||
Czech Republic|Czech||
Brunei|Malay||
Australia|English||
Iran|Persian||
Algeria|Arabic||
El Salvador|Spanish||
Tuvalu|Tuvalu|English|
Gambia|English||
Congo|French||
Marshall Islands|Marshallese|English|
Chile|Spanish||
Puerto Rico|Spanish||
Belgium|Dutch|French|German
Kiribati|Kiribati||
Haiti|French||
Belize|English||
Hong Kong|English||
Sierra Leone|English||
China PR|Chinese||
Georgia|Georgiana||
Denmark|Danish||
Philippines|Pilipino||
Guinea Bissau|Portuguese||
Namibia|English||
Moldova|Romanian||
Netherlands Antill|Papiamento|Dutch|
Croatia|Serbo-Croatian||
French Polynesia|French||
Thailand|Thai||
Switzerland|German|French|Italian
Grenada|English||
France|French||
Iraq|Arabic||
Chad|Arabic||
Estonia|Estonian||
Uruguay|Spanish||
São Tomé & Príncipe|Portuguese||
Mexico|Spanish||
Lebanon|Arabic||
Uzbekistan|Uzbek||
Tunisia|Arabic||
Djibouti|Arabic||
Rwanda|Rwanda|French|
Antigua and Barbud|English||
Colombia|Spanish||
Burundi|Kirundi|French|
Taiwan|Chinese||
Cyprus|Greek|Turkish|
Barbados|English||
Madagascar|Malagasy|French|
Italy|Italian||
Curacao|Dutch||
Bhutan|Dzongkha||
Sudan|Arabic||
Fiji Islands|Fijian||
Nepal|Nepali||
Malta|Maltese|English|
Brunei Darussalam|Malay||
Bosnia Herzegovina|Bosnian||
Maldives|Dhivehi||
Northern Mariana I|English||
Suriname|Dutch||
Anguilla|English||
Venezuela|Spanish||
Israel|Hebrew|Arabic|
Indonesia|Malay||
Mauritania|Arabic||
Iceland|Icelandic||
Zambia|English||
Senegal|Wolof||
Papua New Guinea|English||
Trinidad & Tobago|English||
Zimbabwe|English||
Jordan|Arabic||
Vanuatu|Bislama|English|French
Martinique|French||
Kazakhstan|Kazakh||
Poland|Polish||
Eritrea|Tigrinja||
Kyrgyzstan|Kirgiz|Russian|
Northern Ireland|Irish|English|
Mayotte|French||
Montserrat|English||
New Caledonia|French||
Macedonia|Macedonian||
North Korea|Korean||
Sri Lanka|Singali|Tamil|
Latvia|Latvian||
South Sudan|Arabic||
Hungary|Hungarian||
Syria|Arabic||
Guadeloupe|French||
Honduras|Spanish||
Myanmar|Burmese||
Morocco|Arabic||
Egypt|Arabic||
Ethiopia|Amharic||
Singapore|Chinese|Malay|Tamil
Serbia|Serbian||
United Kingdom|English||
Christmas Island|English||
Yugoslavia|Serbo-Croatian||
Greece|Greek||
Paraguay|Spanish|Guarani|
Fiji|Fijian||
Guinea|French||
Comoros|Comorian||
Niue|English||
